dist,fes,fes_r
2.4,103.490558803,88.68224997030879
2.46,70.033785812,72.66587655715873
2.52,43.644519907,46.87791289272717
2.58,24.098605578,16.126430466771268
2.64,10.865540618,13.184800201618168
2.7,3.15586157,8.755796229981236
2.7600000000000002,0.0,4.230259090453852
2.82,0.327456685,6.509307717095275
2.88,3.049698176,8.182828076841208
2.94,7.143144924,9.91536402990919
3.0,11.718479061,13.976083394467343
3.06,16.068860817,14.934173000098003
3.12,19.694957494,15.504203622851952
3.18,22.305252567,21.272671664611984
3.24,23.805624684,24.437215999590556
3.3000000000000003,24.265346517,26.20554998814142
3.3600000000000003,23.868467101,26.96394239759475
3.4200000000000004,22.875288354,22.309350416131295
3.4799999999999995,21.562781487,17.527005253940207
3.54,20.19065987,18.279596951713888
3.5999999999999996,18.970843242,19.021026641101162
3.66,18.046475396,19.27438244699267
3.7199999999999998,17.485673394,18.300600927755866
3.7800000000000002,17.28559951,17.70720431465454
3.84,17.389321441,17.375714014169958
3.9000000000000004,17.705178406,17.40424069561064
3.96,18.124450994,17.017935868367598
4.0200000000000005,18.541356278,16.656315597001353
4.08,18.859412006,16.494955946130435
4.14,18.960631248,16.356209642492573
4.2,18.808953791,16.107528977611683
4.26,18.458916011,15.676278793867132
4.32,17.980461853,15.685025570778404
4.38,17.437509282,15.744928982807743
4.44,16.898092458,15.80790309086924
4.5,16.41631499,15.714951114735745
4.5600000000000005,16.037110706,15.654871793693864
4.62,15.778542674,15.648634545583054
4.680000000000001,15.639590717,15.641858972770297
4.74,15.613679488,15.527977625795677
4.8,15.678426351,15.299579039393137
4.859999999999999,15.792879439,15.619046650818511
4.92,15.924628895,15.717899300648696
4.98,16.038391807,15.605764670597585
5.04,16.100405311,15.363039708143404
5.1,16.081399669,15.182087195890286
5.16,15.974388811,15.06226764969713
5.220000000000001,15.790826157,15.090683721835529
5.28,15.5438907,14.98017928297817
5.34,15.256619756,14.7631441758809
5.4,14.950213746,14.480538486804003
5.460000000000001,14.646040597,14.008883544859028
5.5200000000000005,14.353242498,13.480299988367843
5.58,14.079234044,13.345714151691698
5.64,13.826418191,13.180776439034169
5.699999999999999,13.593531308,12.995731680454906
5.76,13.375394215,12.791872435011626
5.819999999999999,13.169258289,12.452970308600973
5.88,12.971656031,12.10356157881405
5.9399999999999995,12.773740628,11.962430589100046
6.0,12.570268793,11.772189848292625
6.06,12.365274777,11.559784434499958
6.12,12.163142199,11.338341067195998
6.18,11.973628581,11.25927919587047
6.24,11.803410073,11.16926714093378
6.3,11.660999097,10.91868881344767
6.36,11.547130336,10.735839916777568
6.42,11.463273901,10.560021117234786
6.48,11.406176442,10.356915943573124
6.54,11.369934235,10.14522330275407
6.6000000000000005,11.347399759,10.009471827498828
6.66,11.326540247,10.029401021926683
6.720000000000001,11.292825227,9.956126329483075
6.78,11.235321145,9.920124942328485
6.840000000000001,11.145079514,9.976856630217462
6.8999999999999995,11.019629053,9.809715272237803
6.959999999999999,10.865108584,9.687336846942415
7.02,10.688016227,9.676357747138209
7.08,10.501827165,9.48150233431817
7.14,10.324149524,9.381038742589324
7.199999999999999,10.168919896,9.425758689133696
7.26,10.046846202,9.427088304530386
7.32,9.972335868,9.343399559432296
7.38,9.953435268,9.16520496395656
7.4399999999999995,9.989824693,9.103722365689036
7.5,10.069427404,9.114060310925938
7.5600000000000005,10.176849938,9.190674698988756
7.62,10.29042649,9.060653253289756
7.68,10.389230825,9.126935997076002
7.74,10.448425079,9.349234285093196
7.800000000000001,10.449697153,9.27580610771588
7.86,10.387503627,9.342304431808172
7.92,10.270004342,9.500790205834257
7.98,10.119785867,9.495493396892309
8.040000000000001,9.965801919,9.587661442096914
8.100000000000001,9.844474942,9.741183833769954
8.16,9.788674342,9.867777018653864
8.219999999999999,9.830292413,9.955422287362165
8.28,9.984994701,10.039425070328628
8.34,10.239653777,10.230236420228316
8.4,10.573596131,10.287482320282193
8.459999999999999,10.955997368,10.293723158531767
8.52,11.354422399,10.369795757520377
8.58,11.733418331,10.476733186010833
8.64,12.044141096,10.562289401803683
8.7,12.247763882,10.522981666241751
8.76,12.311488586,10.630118394956684
8.82,12.222698445,10.733310193120213
8.88,11.99147669,10.665403528274359
8.94,11.650574168,10.663647425194375
9.0,11.249941294,10.629904393969543
9.06,10.848226482,10.464612536576142
9.120000000000001,10.518054152,10.701778927136136
9.18,10.331733316,11.03980987570087
9.24,10.347962666,11.378805874216479
9.3,10.590447742,11.418962611571265
9.360000000000001,11.041201846,11.425838799621292
9.42,11.645833815,11.481567686804823
9.48,12.317591942,11.782320625307829
9.54,12.959395191,12.029563499650035
9.6,13.477130761,12.130487409052511
9.66,13.798859374,12.226826060203015
9.719999999999999,13.899406373,12.456796933771495
9.78,13.823810579,12.874274779861677
9.84,13.702317514,13.233608361949253
9.9,13.767657324,13.513504413426261
9.96,14.360017281,13.701500200948201
